b_e,avg_end_edge,avg_edge_cloud,total_utility
5,107.0,113.7,8.449315919782942
10,108.7,121.0,8.465583827859374
15,108.3,114.5,8.465505718528707
20,107.1,119.3,8.456462082562483
25,100.8,113.7,8.457175154206391
30,102.8,112.4,8.449411870864878
35,99.5,115.8,8.434660846943942
